  -73811955.17954764     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -73664183.49750651     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -73516411.81546539     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -73368640.13342424     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -73220868.45138311     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -73073096.76934198     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -72925325.08730084     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -72777553.40525970     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -72629781.72321855     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -72482010.04117742     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -72334238.35913628     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -72186466.67709514     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -72038694.99505402     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -71890923.31301288     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -71743151.63097176     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -71595379.94893061     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -71447608.26688945     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -71299836.58484833     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -71152064.90280719     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -71004293.22076607     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -70856521.53872493     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -70708749.85668379     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -70560978.17464267     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -70413206.49260151     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -70265434.81056038     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -70117663.12851924     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -69969891.44647810     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -69822119.76443698     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -69674348.08239584     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -69526576.40035470     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -69378804.71831357     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
  -69231033.03627242     101325.00000000          0.85914202     -10000.00000000    3676666.83105905
